company_name,input_url,input_status_code,input_status_text,input_final_url,input_redirects,detected_career_url,detected_status_code,detected_status_text,detected_final_url,detected_redirects,detection_method,page_has_keywords,keywords_found,last_checked_utc
Plaid,https://plaid.com/careers/,200,OK,https://plaid.com/careers/,0,https://plaid.com/careers/,200,OK,https://plaid.com/careers/,0,original_ok,True,"career,careers,job,jobs,open role,open roles",2025-12-09T18:26:42Z
Anthropic,https://www.anthropic.com/careers,200,OK,https://www.anthropic.com/careers,0,https://www.anthropic.com/careers,200,OK,https://www.anthropic.com/careers,0,original_ok,True,"career,careers,open role,open roles",2025-12-09T18:26:42Z
Airbnb Careers,https://careers.airbnb.com/,200,OK,https://careers.airbnb.com/,0,https://careers.airbnb.com/,200,OK,https://careers.airbnb.com/,0,original_ok,True,"career,careers,job,jobs,open role,open roles",2025-12-09T18:26:42Z
Robinhood,https://careers.robinhood.com/,200,OK,https://careers.robinhood.com/,0,https://careers.robinhood.com/,200,OK,https://careers.robinhood.com/,0,original_ok,True,"career,careers,job,jobs,open role,open roles",2025-12-09T18:26:42Z
Coinbase,https://www.coinbase.com/careers,403,Forbidden,https://www.coinbase.com/careers,0,https://www.coinbase.com/careers,403,Forbidden,https://www.coinbase.com/careers,0,unresolved,False,,2025-12-09T18:26:42Z
NVIDIA,https://careers.nvidia.com/,200,OK,https://www.nvidia.com/en-us/about-nvidia/careers/,1,https://careers.nvidia.com/,200,OK,https://www.nvidia.com/en-us/about-nvidia/careers/,1,original_ok,True,"career,careers,job,jobs",2025-12-09T18:26:42Z
Stripe,https://stripe.com/jobs,200,OK,https://stripe.com/jobs,0,https://stripe.com/jobs,200,OK,https://stripe.com/jobs,0,original_ok,True,"career,careers,job,jobs,open role,open roles",2025-12-09T18:26:42Z
AMD Careers,https://careers.amd.com/,200,OK,https://careers.amd.com/careers-home,1,https://careers.amd.com/,200,OK,https://careers.amd.com/careers-home,1,original_ok,True,"career,careers,job,jobs",2025-12-09T18:26:42Z
Cerebras,https://www.cerebras.net/careers/,200,OK,https://www.cerebras.ai/join-us,3,https://www.cerebras.net/careers/,200,OK,https://www.cerebras.ai/join-us,3,original_ok,True,"career,careers,job",2025-12-09T18:26:42Z
Cisco Jobs,https://jobs.cisco.com/,200,OK,https://careers.cisco.com/global/en,2,https://jobs.cisco.com/,200,OK,https://careers.cisco.com/global/en,2,original_ok,True,"career,careers,job,jobs",2025-12-09T18:26:42Z
