name,link,working,status_code,response,mode
Apple Careers,https://jobs.apple.com/en-us/search,yes,200,OK,httpx
Google Careers,https://careers.google.com/,yes,200,OK,httpx
Amazon Jobs,https://www.amazon.jobs/,yes,200,OK,httpx
Microsoft Careers,https://careers.microsoft.com/,yes,200,OK,httpx
Meta Careers,https://www.metacareers.com/,no,400,Bad Request,httpx
Netflix Jobs,https://jobs.netflix.com/,yes,200,OK,httpx
X (Twitter) Careers,https://careers.x.com/,yes,200,OK,httpx
Uber Careers,https://www.uber.com/careers/,yes,200,OK,httpx
Airbnb Careers,https://careers.airbnb.com/,yes,200,OK,httpx
Salesforce Careers,https://careers.salesforce.com/,no,403,AttributeError: 'Page' object has no attribute 'response',browser
Cisco Jobs,https://jobs.cisco.com/,yes,200,OK,httpx
Intel Careers,https://intel.wd1.myworkdayjobs.com/External/,yes,200,OK,httpx
Oracle Careers,https://careers.oracle.com/,yes,200,OK,httpx
Tesla Careers,https://www.tesla.com/careers,no,403,AttributeError: 'Page' object has no attribute 'response',browser
NVIDIA Careers,https://careers.nvidia.com/,yes,200,OK,httpx
AMD Careers,https://careers.amd.com/,yes,200,OK,httpx
Qualcomm Careers,https://careers.qualcomm.com/,yes,200,OK,httpx
Adobe Careers,https://careers.adobe.com/,yes,200,OK,httpx
VMware Careers,https://careers.vmware.com/,no,,"TimeoutError: Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://careers.vmware.com/"", waiting until ""domcontentloaded""
",browser
Broadcom Careers,https://careers.broadcom.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.broadcom.com/
Call log:
  - navigating to ""https://careers.broadcom.com/"", waiting until ""domcontentloaded""
",browser
JPMorgan Chase Careers,https://careers.jpmorgan.com/,yes,200,OK,httpx
Goldman Sachs Careers,https://www.goldmansachs.com/careers/,yes,200,OK,httpx
Morgan Stanley Careers,https://careers.morganstanley.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.morganstanley.com/
Call log:
  - navigating to ""https://careers.morganstanley.com/"", waiting until ""domcontentloaded""
",browser
Bank of America Careers,https://careers.bankofamerica.com/,yes,200,OK,httpx
Wells Fargo Careers,https://careers.wellsfargo.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.wellsfargo.com/
Call log:
  - navigating to ""https://careers.wellsfargo.com/"", waiting until ""domcontentloaded""
",browser
Citigroup Careers,https://careers.citi.com/,no,,"Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://careers.citi.com/
Call log:
  - navigating to ""https://careers.citi.com/"", waiting until ""domcontentloaded""
",browser
American Express Careers,https://careers.americanexpress.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.americanexpress.com/
Call log:
  - navigating to ""https://careers.americanexpress.com/"", waiting until ""domcontentloaded""
",browser
Visa Careers,https://careers.visa.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.visa.com/
Call log:
  - navigating to ""https://careers.visa.com/"", waiting until ""domcontentloaded""
",browser
Mastercard Careers,https://careers.mastercard.us/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.mastercard.us/
Call log:
  - navigating to ""https://careers.mastercard.us/"", waiting until ""domcontentloaded""
",browser
PayPal Careers,https://careers.paypal.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.paypal.com/
Call log:
  - navigating to ""https://careers.paypal.com/"", waiting until ""domcontentloaded""
",browser
Stripe Jobs,https://stripe.com/jobs,yes,200,OK,httpx
Square Careers,https://careers.squareup.com/,yes,200,OK,httpx
Robinhood Careers,https://careers.robinhood.com/,yes,200,OK,httpx
Coinbase Careers,https://www.coinbase.com/careers,yes,200,Forbidden,browser
Plaid Careers,https://plaid.com/careers/,yes,200,OK,httpx
Capital One Careers,https://careers.capitalone.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.capitalone.com/
Call log:
  - navigating to ""https://careers.capitalone.com/"", waiting until ""domcontentloaded""
",browser
Fidelity Careers,https://jobs.fidelity.com/,yes,200,Forbidden,browser
Charles Schwab Careers,https://careers.schwab.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.schwab.com/
Call log:
  - navigating to ""https://careers.schwab.com/"", waiting until ""domcontentloaded""
",browser
BlackRock Careers,https://careers.blackrock.com/,yes,200,OK,httpx
Intuit Careers,https://careers.intuit.com/,yes,200,Too Many Requests,browser
Credit Karma Careers,https://careers.creditkarma.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.creditkarma.com/
Call log:
  - navigating to ""https://careers.creditkarma.com/"", waiting until ""domcontentloaded""
",browser
SoFi Careers,https://www.sofi.com/careers/,yes,200,OK,httpx
Affirm Careers,https://careers.affirm.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.affirm.com/
Call log:
  - navigating to ""https://careers.affirm.com/"", waiting until ""domcontentloaded""
",browser
Kraken Careers,https://jobs.kraken.com/,yes,200,Forbidden,browser
Gemini Careers,https://www.gemini.com/careers,yes,200,OK,httpx
Shopify Careers,https://www.shopify.com/careers,yes,200,OK,httpx
eBay Careers,https://careers.ebayinc.com/,yes,200,OK,httpx
Etsy Careers,https://careers.etsy.com/,yes,200,OK,httpx
Wayfair Careers,https://careers.wayfair.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.wayfair.com/
Call log:
  - navigating to ""https://careers.wayfair.com/"", waiting until ""domcontentloaded""
",browser
Walmart Careers,https://careers.walmart.com/,yes,200,OK,httpx
Target Careers,https://corporate.target.com/careers/,yes,200,OK,httpx
Home Depot Careers,https://careers.homedepot.com/,yes,200,OK,httpx
Lowe's Careers,https://careers.lowes.com/,no,,"Error: Page.goto: net::ERR_CONNECTION_RESET at https://careers.lowes.com/
Call log:
  - navigating to ""https://careers.lowes.com/"", waiting until ""domcontentloaded""
",browser
Best Buy Careers,https://jobs.bestbuy.com/,yes,200,OK,httpx
Costco Careers,https://jobs.costco.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://jobs.costco.com/
Call log:
  - navigating to ""https://jobs.costco.com/"", waiting until ""domcontentloaded""
",browser
Nike Careers,https://jobs.nike.com/,yes,200,OK,httpx
BigCommerce Careers,https://careers.bigcommerce.com/,yes,200,OK,httpx
Squarespace Careers,https://www.squarespace.com/careers/,yes,200,OK,httpx
Wix Careers,https://www.wix.com/jobs/,yes,200,OK,httpx
GoDaddy Careers,https://careers.godaddy.com/,yes,200,OK,httpx
Poshmark Careers,https://careers.poshmark.com/,no,,"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://careers.poshmark.com/
Call log:
  - navigating to ""https://careers.poshmark.com/"", waiting until ""domcontentloaded""
",browser
Mercari Careers,https://careers.mercari.com/,yes,200,OK,httpx
ThredUp Careers,https://careers.thredup.com/,yes,200,OK,httpx
